-50.0000,-50.0000,0.0000
-30.0285,-30.0285,7.6752
-10.0571,-10.0571,15.0524
-13.6865,8.1884,18.0633
-10.9374,10.9374,18.2123
-8.1884,13.6865,18.0633
-50.0000,50.0000,0.0000
-38.4758,38.4758,7.7859
-26.9516,26.9516,15.2739
-17.5700,20.3190,16.8176
-20.3190,17.5700,16.8176
50.0000,-50.0000,0.0000
38.4758,-38.4758,7.7859
26.9516,-26.9516,15.2739
8.1884,-13.6865,18.0633
17.5700,-20.3190,16.8176
20.3190,-17.5700,16.8176
13.6865,-8.1884,18.0633
10.9374,-10.9374,18.2123
-0.0000,-0.0000,15.2014
10.0571,10.0571,15.0524
-0.9343,-11.8718,16.7068
-11.8718,-0.9343,16.7068
30.0285,30.0285,7.6752
50.0000,50.0000,0.0000
11.8718,0.9343,16.7068
0.9343,11.8718,16.7068
-7.4507,-7.4507,18.6737
-4.8443,-4.8443,21.9970
-50.0000,-50.0000,24.0954
-27.4221,-27.4221,23.1952
-11.6177,5.1804,20.2184
-9.5489,2.1725,22.0755
-5.1804,11.6177,20.2184
-2.1725,9.5489,22.0755
-5.8607,5.8607,22.2245
-31.4416,31.4416,19.3765
-35.9316,35.9316,23.1810
-50.0000,50.0000,24.0954
-42.9658,42.9658,23.6485
-19.0520,22.7402,22.6740
-22.7402,19.0520,22.6740
31.4416,-31.4416,19.3765
35.9316,-35.9316,23.1810
50.0000,-50.0000,24.0954
42.9658,-42.9658,23.6485
5.1804,-11.6177,20.2184
2.1725,-9.5489,22.0755
19.0520,-22.7402,22.6740
11.6177,-5.1804,20.2184
9.5489,-2.1725,22.0755
22.7402,-19.0520,22.6740
5.8607,-5.8607,22.2245
7.4507,7.4507,18.6737
4.8443,4.8443,21.9970
-0.0000,-0.0000,22.1460
-1.3359,-7.1966,22.0447
-7.1966,-1.3359,22.0447
27.4221,27.4221,23.1952
50.0000,50.0000,24.0954
7.1966,1.3359,22.0447
1.3359,7.1966,22.0447
0,1
2,1
3,4
5,4
6,7
8,7
8,9
5,9
3,10
8,10
11,12
13,12
14,15
13,15
13,16
17,16
14,18
17,18
2,19
20,19
14,21
2,21
2,22
3,22
20,23
24,23
17,25
20,25
20,26
5,26
2,27
28,27
29,30
28,30
3,31
32,31
5,33
34,33
32,35
34,35
8,36
37,36
38,39
37,39
37,40
34,40
32,41
37,41
13,42
43,42
44,45
43,45
14,46
47,46
47,48
43,48
17,49
50,49
43,51
50,51
47,52
50,52
20,53
54,53
28,55
54,55
47,56
28,56
28,57
32,57
54,58
59,58
50,60
54,60
54,61
34,61
