-6.2500,-50.0000,0.0000
0.7566,-27.3684,10.3435
7.7632,-4.7368,20.5871
42.4785,-40.4608,28.6010
25.1209,-22.5988,24.6440
50.0000,0.0000,0.0000
28.8816,-2.3684,10.3435
42.4785,34.1452,28.6010
25.1209,14.7042,24.6440
7.7632,-4.7368,30.0668
7.7632,-4.7368,25.3769
-32.1275,34.1452,28.6010
-12.1821,14.7042,24.6440
-50.0000,-6.2500,0.0000
-21.1184,-5.4934,10.3435
59.8361,-58.3229,26.5440
77.1937,-76.1849,24.3870
111.9090,-111.9090,0.0000
94.5514,-94.0469,12.2435
-52.0729,53.5861,26.5440
-72.0182,73.0271,24.3870
-111.9090,111.9090,0.0000
-91.9636,92.4680,12.2435
59.8361,53.5861,26.5440
77.1937,73.0271,24.3870
111.9090,111.9090,0.0000
94.5514,92.4680,12.2435
7.7632,-4.7368,34.2567
7.7632,-4.7368,47.8264
-6.2500,-50.0000,66.9635
0.7566,-27.3684,57.4450
42.4785,-40.4608,34.5151
42.4785,-40.4608,40.3291
25.1209,-22.5988,44.1278
50.0000,0.0000,66.9635
28.8816,-2.3684,57.4450
42.4785,34.1452,34.5151
42.4785,34.1452,40.3291
25.1209,14.7042,44.1278
7.7632,-4.7368,34.6567
7.7632,-4.7368,39.1466
7.7632,-4.7368,43.5365
-32.1275,34.1452,34.5151
-32.1275,34.1452,40.3291
-12.1821,14.7042,44.1278
-50.0000,-6.2500,66.9635
-21.1184,-5.4934,57.4450
77.1937,-76.1849,34.2734
77.1937,-76.1849,44.0599
59.8361,-58.3229,42.2445
111.9090,-111.9090,66.9635
94.5514,-94.0469,55.5617
-72.0182,73.0271,34.2734
-72.0182,73.0271,44.0599
-52.0729,53.5861,42.2445
-111.9090,111.9090,66.9635
-91.9636,92.4680,55.5617
77.1937,73.0271,34.2734
77.1937,73.0271,44.0599
59.8361,53.5861,42.2445
111.9090,111.9090,66.9635
94.5514,92.4680,55.5617
0,1
2,1
3,4
2,4
5,6
2,6
7,8
2,8
9,10
2,10
11,12
2,12
13,14
2,14
3,15
16,15
17,18
16,18
11,19
20,19
21,22
20,22
7,23
24,23
25,26
24,26
2,27
28,27
29,30
28,30
3,31
32,31
32,33
28,33
34,35
28,35
7,36
37,36
37,38
28,38
9,39
40,39
40,41
28,41
11,42
43,42
43,44
28,44
45,46
28,46
16,47
48,47
32,49
48,49
50,51
48,51
20,52
53,52
43,54
53,54
55,56
53,56
24,57
58,57
37,59
58,59
60,61
58,61
